fight date,fight weightclass,win method,rounds,time,Winner,Loser
"December 12, 2020",Flyweight,M-DEC,5,5:00,Deiveson Figueiredo,Brandon Moreno
"December 12, 2020",Lightweight,U-DEC,3,5:00,Charles Oliveira,Tony Ferguson
"December 12, 2020",Women's Strawweight,U-DEC,3,5:00,Mackenzie Dern,Virna Jandiroba
"December 12, 2020",Middleweight,KO/TKO,1,1:45,Kevin Holland,Jacare Souza
"December 12, 2020",Heavyweight,KO/TKO,2,2:34,Ciryl Gane,Junior Dos Santos
"December 12, 2020",Featherweight,KO/TKO,2,1:52,Cub Swanson,Daniel Pineda
"December 12, 2020",Lightweight,KO/TKO,1,4:05,Rafael Fiziev,Renato Moicano
"December 12, 2020",Featherweight,U-DEC,3,5:00,Gavin Tucker,Billy Quarantillo
"December 12, 2020",Women's Strawweight,KO/TKO,1,5:00,Tecia Torres,Sam Hughes
"December 12, 2020",Featherweight,SUB,3,3:02,Chase Hooper,Peter Barrett
"December 05, 2020",Middleweight,U-DEC,5,5:00,Marvin Vettori,Jack Hermansson
"December 05, 2020",Light Heavyweight,KO/TKO,2,3:37,Jamahal Hill,Ovince Saint Preux
"December 05, 2020",Lightweight,KO/TKO,1,4:06,Gabriel Benitez,Justin Jaynes
"December 05, 2020",Light Heavyweight,S-DEC,3,5:00,Roman Dolidze,John Allan
"December 05, 2020",Lightweight,KO/TKO,1,0:22,Jordan Leavitt,Matt Wiman
"December 05, 2020",Bantamweight,KO/TKO,2,2:15,Louis Smolka,Jose Quinonez
"December 05, 2020",Featherweight,KO/TKO,1,2:38,Ilia Topuria,Damon Jackson
"December 05, 2020",Heavyweight,U-DEC,3,5:00,Jake Collier,Gian Villante
"November 28, 2020",Light Heavyweight,SUB,1,2:34,Anthony Smith,Devin Clark
"November 28, 2020",Welterweight,SUB,2,4:28,Miguel Baeza,Takashi Sato
"November 28, 2020",Heavyweight,U-DEC,3,5:00,Parker Porter,Josh Parisian
"November 28, 2020",Featherweight,U-DEC,3,5:00,Bill Algeo,Spike Carlyle
"November 28, 2020",Women's Bantamweight,U-DEC,3,5:00,Norma Dumont,Ashlee Evans-Smith
"November 28, 2020",Featherweight,KO/TKO,2,4:28,Jonathan Pearce,Kai Kamaka
"November 28, 2020",Bantamweight,SUB,1,4:35,Anderson Dos Santos,Martin Day
"November 28, 2020",Women's Flyweight,KO/TKO,3,4:10,Gina Mazany,Rachael Ostovich
"November 28, 2020",Flyweight,KO/TKO,1,0:44,Su Mudaerji,Malcolm Gordon
"November 28, 2020",Catch Weight,SUB,2,2:29,Nate Maness,Luke Sanders
"November 21, 2020",Flyweight,SUB,1,1:57,Deiveson Figueiredo,Alex Perez
"November 21, 2020",Women's Flyweight,U-DEC,5,5:00,Valentina Shevchenko,Jennifer Maia
